timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.0732864  -0.10314098],[ 2.52044249  0.60963488],"[ 1.29216468  2.05944498 -0.1631781   0.71080208  1.52144887  1.45827274
  0.01861906  0.34926026 -0.02742915 -1.35961681  0.        ]",-0.155848135403,-1.57718,[ 2.59281403  0.24187735],"[[ 0.09053335 -0.02330558  0.1741867   0.16826177]
 [ 0.00374009 -0.00049939  0.          0.        ]]"
1,[-0.0732864  -0.10314098],[ 1.92667532  0.43124488],"[ 1.28616168  2.05967008 -0.1025698   0.73953783  1.52144196  1.45826649
  0.33020225  0.47983685 -0.03457863 -1.27620264  0.        ]",-0.146530812152,-1.48385,[ 2.82287677 -1.28350272],"[[ 0.13029418 -0.01372165  0.1741867   0.16826177]
 [ 3.95917371  0.95571145  0.          0.        ]]"
2,[-0.0732864  -0.10314098],[ 1.28651321  0.29437563],"[ 1.25573916  2.05897614  0.07523216  0.67712056  1.52143505  1.45826025
  0.63577292 -0.06366231 -0.06499714 -1.07868213  0.        ]",-0.124073899616,-1.38169,[ 1.75041214 -0.04151567],"[[ 0.24839797 -0.03454022  0.1741867   0.16826177]
 [ 7.83828526 -3.02429824  0.          0.        ]]"
3,[-0.0732864  -0.10314098],[ 0.29354471  0.05277804],"[ 1.16541572  2.05353084  0.35601855  0.49295537  1.52142814  1.458254
  0.93518173 -0.07813094 -0.14640371 -0.78979983  0.        ]",-0.090096623288,-1.12357,[ 1.8107489  -1.75922633],"[[  0.4432992   -0.09608939   0.1741867    0.16826177]
 [ 11.63918628  -3.13025173   0.           0.        ]]"
4,[-0.0732864  -0.10314098],[-0.71473825 -0.07205203],"[ 0.9637979   2.03338666  0.70195209  0.19129896  1.52142124  1.45824776
  1.22878722 -0.6105594  -0.31805865 -0.43868037  0.        ]",-0.048658852891,-1.06198,[-1.49728692 -0.45704556],"[[  0.71347939  -0.19781404   0.1741867    0.16826177]
 [ 15.36643913  -7.02918859   0.           0.        ]]"
5,[-0.0732864  -0.10314098],[-0.64245772  0.18140253],"[ 0.69342433  1.97536959  0.97029012 -0.26214031  1.52141433  1.45824151
  0.89328091 -0.83843566 -0.51755138 -0.19400672  0.        ]",-0.0358784313105,-0.935877,[ 0.7684654   1.93191549],"[[  0.97807561  -0.35514059   0.1741867    0.16826177]
 [ 11.10735144  -8.69791997   0.           0.        ]]"
6,[-0.0732864  -0.10314098],[-1.6919167  -0.04677188],"[ 0.38812966  1.90212876  1.14293447 -0.62451214  1.52140742  1.45823527
  1.11534559 -0.27430989 -0.75030703 -0.00390128  0.        ]",-0.0594511683817,-1.00923,[-0.98814886  0.46270568],"[[  1.22850682  -0.48765139   0.1741867    0.16826177]
 [ 13.9264146   -4.56688301   0.           0.        ]]"
7,[-0.0732864  -0.10314098],[-1.699561   -0.00251853],"[ 0.07309477  1.85342914  1.2233375  -0.81154073  1.52140051  1.45822902
  0.78565783 -0.01152536 -1.02743231  0.15250035  0.        ]",-0.09734453246,-1.10097,[-0.53534009 -0.00056751],"[[ 1.46504371 -0.55968107  0.1741867   0.16826177]
 [ 9.74118507 -2.64253918  0.          0.        ]]"
8,[-0.0732864  -0.10314098],[-1.67812037  0.0786781 ],"[-0.16157989  1.81429763  1.22857367 -0.94231262  1.5213936   1.45822278
  0.60364929 -0.00455282 -1.24076971  0.22215027  0.        ]",-0.126246927973,-1.22691,[-1.5116875  -0.54058912],"[[ 1.63668548 -0.61201938  0.1741867   0.16826177]
 [ 7.43067637 -2.59148013  0.          0.        ]]"
9,[-0.0732864  -0.10314098],[-1.2123934   0.36897239],"[-0.30758137  1.75487856  1.20891251 -1.11623234  1.5213867   1.45821653
  0.28048492 -0.28964715 -1.34742466  0.227887    0.        ]",-0.140064916496,-1.28576,[-1.09125484  0.41798084],"[[ 1.74413838 -0.6847954   0.1741867   0.16826177]
 [ 3.32824735 -4.67919384  0.          0.        ]]"
10,[-0.0732864  -0.10314098],[-0.82445049  0.5057615 ],"[-0.34283606  1.68688348  1.20145879 -1.28719863  1.52137979  1.45821029
 -0.03640205 -0.05080361 -1.33108361  0.1985669   0.        ]",-0.137379653354,-1.22235,[-0.87435662 -1.05207761],"[[ 1.77034217 -0.76083063  0.1741867   0.16826177]
 [-0.69449349 -2.93017484  0.          0.        ]]"
11,[-0.0732864  -0.10314098],[ 0.01315271  0.85477364],"[-0.27752355  1.59123165  1.21441464 -1.48928036  1.52137288  1.45820404
 -0.30773681 -0.5834425  -1.19576595  0.12119334  0.        ]",-0.118605760113,-1.11525,[ 0.74014373 -0.08312301],"[[ 1.72189366 -0.85856855  0.1741867   0.16826177]
 [-4.13896958 -6.8306212   0.          0.        ]]"
12,[-0.0732864  -0.10314098],[-0.07823393  0.88208103],"[-0.2061008   1.44140774  1.2244481  -1.73822544  1.52136597  1.4581978
 -0.07062075 -0.61004039 -1.04444814 -0.00771058  0.        ]",-0.0979495928889,-1.06459,[ 0.61181377  1.71431406],"[[ 1.66931485 -0.99713534  0.1741867   0.16826177]
 [-1.12889496 -7.02540197  0.          0.        ]]"
13,[-0.0732864  -0.10314098],[-0.46973434  0.77214813],"[-0.20871849  1.32510011  1.22415121 -1.88728531  1.52135907  1.45819155
  0.12173672 -0.05042195 -0.99809082 -0.08549878  0.        ]",-0.0923197760148,-1.05206,[-1.06786616  0.63571567],"[[ 1.67123642 -1.09652692  0.1741867   0.16826177]
 [ 1.31299063 -2.92740375  0.          0.        ]]"
14,[-0.0732864  -0.10314098],[-0.02635863  0.83948231],"[-0.19003156  1.28544108  1.22611174 -1.9306251   1.52135216  1.45818531
 -0.19206184  0.30138065 -0.96725905 -0.12310674  0.        ]",-0.088832594964,-1.02266,[-0.56555391  0.78323788],"[[ 1.65752844 -1.12922714  0.1741867   0.16826177]
 [-2.67052583 -0.35120829  0.          0.        ]]"
15,[-0.0732864  -0.10314098],[ 0.2341373   0.75470221],"[-0.08702275  1.31480601  1.23177318 -1.89884921  1.52134525  1.45817906
 -0.364244    0.72592682 -0.88904164 -0.16380719  0.        ]",-0.079616193273,-1.01612,[-0.74073005  1.84946252],"[[ 1.58218726 -1.10505891  0.1741867   0.16826177]
 [-4.856295    2.75768023  0.          0.        ]]"
16,[-0.0732864  -0.10314098],[ 0.60229295  0.58628023],"[ 0.08457921  1.4258976   1.22188026 -1.760052    1.52133834  1.45817282
 -0.58762791  1.25931326 -0.78158773 -0.19699366  0.        ]",-0.0670791088484,-0.904258,[ 1.53237595  1.59624215],"[[ 1.45660908 -1.01071615  0.1741867   0.16826177]
 [-7.69204673  6.66360603  0.          0.        ]]"
17,[-0.0732864  -0.10314098],[-0.08550607  0.1098257 ],"[ 0.2364711   1.61099985  1.19258182 -1.45054138  1.52133144  1.45816657
 -0.26404816  1.78185327 -0.71949699 -0.16256674  0.        ]",-0.0581547610746,-0.922387,[-0.09174678  0.68687521],"[[  1.34398267  -0.8390506    0.1741867    0.16826177]
 [ -3.58438536  10.49015042   0.           0.        ]]"
18,[-0.0732864  -0.10314098],[-0.2315684  -0.27564931],"[ 0.335085    1.82038324  1.16270307 -0.92261441  1.52132453  1.45816033
 -0.28713292  2.12489997 -0.73885643 -0.04888394  0.        ]",-0.0581609591401,-0.948675,[-1.14324301 -0.73975216],"[[  1.26935484  -0.6040419    0.1741867    0.16826177]
 [ -3.87743868  13.00234686   0.           0.        ]]"
19,[-0.0732864  -0.10314098],[ 0.5730601  -0.14396259],"[ 0.48425582  1.96518513  1.09986598 -0.32037367  1.52131762  1.45815408
 -0.59263912  1.68994496 -0.71755541 -0.00317766  0.        ]",-0.0551699265905,-0.861435,[ 1.25850028 -0.4056953 ],"[[ 1.15289376 -0.37595191  0.1741867   0.16826177]
 [-7.7556753   9.81728739  0.          0.        ]]"
20,[-0.0732864  -0.10314098],[ 0.22876951 -0.30200177],"[ 0.62284929  2.03326337  1.02005364  0.19171462  1.52131072  1.45814784
 -0.2688687   1.44382583 -0.67932212 -0.00604122  0.        ]",-0.0501658202463,-0.873145,[ 0.6192095 -1.0799692],"[[ 1.03901807 -0.19768869  0.1741867   0.16826177]
 [-3.64560764  8.01502579  0.          0.        ]]"
21,[-0.0732864  -0.10314098],[ 0.09864247 -0.25581622],"[ 0.67820989  2.05539447  0.98155187  0.54489432  1.52130381  1.4581416
 -0.07010209  0.88131012 -0.69455418  0.01635167  0.        ]",-0.0522167720722,-0.88414,[ 1.04404377  1.09145748],"[[ 0.99142218 -0.07871783  0.1741867   0.16826177]
 [-1.12238835  3.89578791  0.          0.        ]]"
22,[-0.0732864  -0.10314098],[-0.7869857  -0.74257636],"[ 0.65810153  2.05858328  0.99600656  0.89506429  1.5212969   1.45813535
  0.24315257  1.41127354 -0.79941121  0.09809166  0.        ]",-0.0668980139811,-0.914209,[ 0.54705136  0.18632914],"[[ 1.0088725   0.03813639  0.1741867   0.16826177]
 [ 2.85418699  7.77670511  0.          0.        ]]"
23,[-0.0732864  -0.10314098],[-1.37705564 -1.01637483],"[ 0.56532093  2.03273133  1.05589766  1.37511086  1.52129     1.45812911
  0.40916784  1.49088016 -1.03594528  0.2251223   0.        ]",-0.100230890304,-1.04403,[-0.51929325 -0.67575071],"[[ 1.08710083  0.19951993  0.1741867   0.16826177]
 [ 4.96165204  8.35970621  0.          0.        ]]"
24,[-0.0732864  -0.10314098],[-1.11129987 -0.89398575],"[ 0.46937425  1.98294719  1.10713276  1.7757803   1.52128309  1.45812286
  0.23970295  1.1029995  -1.26820383  0.292021    0.        ]",-0.131535427708,-1.21606,[-1.77564266 -1.58867506],"[[ 1.16475005  0.33821543  0.1741867   0.16826177]
 [ 2.8104114   5.51930672  0.          0.        ]]"
25,[-0.0732864  -0.10314098],[-0.34582338 -0.56479084],"[ 0.44921119  1.94866248  1.11662657  1.97003909  1.52127618  1.45811662
 -0.07618962  0.54756987 -1.35132882  0.29964595  0.        ]",-0.142289281798,-1.20494,[ 0.12625545 -0.94152151],"[[ 1.18072464  0.4077924   0.1741867   0.16826177]
 [-1.1996324   1.45193873  0.          0.        ]]"
26,[-0.0732864  -0.10314098],[-0.19018242 -0.37234634],"[ 0.47283576  1.9532442   1.10545183  1.94615116  1.52126928  1.45811038
 -0.03486478  0.03452673 -1.31509259  0.29325169  0.        ]",-0.137515005527,-1.20324,[ 0.51553572  1.18848396],"[[ 1.16199537  0.39913618  0.1741867   0.16826177]
 [-0.67504281 -2.30503892  0.          0.        ]]"
27,[-0.0732864  -0.10314098],[-0.70815212 -0.6627239 ],"[ 0.46392525  1.9563212   1.10973011  1.92975247  1.52126237  1.45810413
  0.12672995  0.58136495 -1.32099581  0.29574887  0.        ]",-0.138333177012,-1.29658,[-1.40174429  1.38790628],"[[ 1.1690761   0.39321343  0.1741867   0.16826177]
 [ 1.37628955  1.69942032  0.          0.        ]]"
