timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
0,5.48948,[-6.57168206  0.02323238],[-5.52918053  1.37874258],-0.41461311039,[-0.28831464 -0.62531805],"[[ 0.01239167 -0.05481372 -0.19366188 -0.09854267]
 [ 0.00403954 -0.00036844  0.          0.        ]]","[ 1.7476522   1.55645371  1.02099126  0.30338142 -1.6725268  -0.8417217
  0.51299711  0.2629224   2.56373937  0.79093353  0.        ]"
1,5.37605,[-5.99079803  0.9640054 ],[-5.28351831  1.31466341],-0.412523095006,[-0.28831464 -0.62531805],"[[-0.02721923 -0.0538826  -0.19366188 -0.09854267]
 [-3.951957    0.09316377  0.          0.        ]]","[ 1.74711976  1.55651635  0.95355809  0.30501846 -1.67252283 -0.84172081
  0.37237958  0.27840388  2.5619389   0.73185181  0.        ]"
2,5.3458,[-5.46830214  1.75322477],[-5.04336214  0.93962246],-0.406725908256,[-0.28831464 -0.62531805],"[[-0.14517946 -0.01372479 -0.19366188 -0.09854267]
 [-7.83114434  3.90989228  0.          0.        ]]","[ 1.72886506  1.55828293  0.75358947  0.37568977 -1.67251887 -0.84171991
  0.2344923   0.91015719  2.54942823  0.58607492  0.        ]"
3,5.43877,[-4.2127367  -0.78815019],[-4.65864611  0.18076779],-0.396840292581,[-0.28831464 -0.62531805],"[[ -0.33995396   0.10343898  -0.19366188  -0.09854267]
 [-11.63364963   7.79352631   0.           0.        ]]","[ 1.64487057  1.55143167  0.43219831  0.58168597 -1.6725149  -0.84171901
  0.09933072  1.55298266  2.51051362  0.38985323  0.        ]"
4,5.4452,[-4.19226495  0.14376122],[-4.07805109  0.28656846],-0.377637245164,[-0.28831464 -0.62531805],"[[ -0.60999704   0.22646324  -0.19366188  -0.09854267]
 [-15.35827961   4.51977406   0.           0.        ]]","[ 1.42348145  1.52509972  0.02457862  0.79525213 -1.67251093 -0.84171811
 -0.03306275  1.01110223  2.40483775  0.10663253  0.        ]"
5,5.44874,[-3.18168487  0.58070139],[-3.43133545 -0.0048075 ],-0.343637731407,[-0.28831464 -0.62531805],"[[ -0.95380909   0.32168316  -0.19366188  -0.09854267]
 [-19.01078854   5.00056258   0.           0.        ]]","[ 0.99000648  1.49149905 -0.38872559  0.9566113  -1.67250696 -0.84171721
 -0.16289264  1.09068198  2.17578288 -0.23985149  0.        ]"
6,5.89287,[-3.61717344  0.17845074],[-3.02011514 -0.47937405],-0.29304022049,[-0.28831464 -0.62531805],"[[ -1.36995497   0.44377831  -0.19366188  -0.09854267]
 [-22.59192778   7.2015307    0.           0.        ]]","[ 0.30835924  1.43206763 -0.66840476  1.15593594 -1.67250299 -0.84171631
 -0.29018565  1.45498851  1.80462569 -0.52331394  0.        ]"
7,6.34303,[-2.93484008 -1.37401126],[-2.98352385 -0.70387465],-0.223460619263,[-0.28831464 -0.62531805],"[[ -1.85701059   0.59346899  -0.19366188  -0.09854267]
 [-26.10201882   7.76552577   0.           0.        ]]","[-0.5580092   1.33538808 -0.63336708  1.38465795 -1.67249902 -0.84171541
 -0.41495319  1.54833893  1.30809974 -0.63036797  0.        ]"
8,6.68636,[-2.9448063  0.1322233],[-2.77162623 -0.18445781],-0.129547676062,[-0.28831464 -0.62531805],"[[ -2.41355798   0.70750178  -0.19366188  -0.09854267]
 [-29.54125532   3.65131611   0.           0.        ]]","[-1.39262931  1.24537636 -0.13296863  1.5443695  -1.67249506 -0.84171451
 -0.5372021   0.86734551  0.72879686 -0.44857193  0.        ]"
9,6.91282,[-3.27137823 -0.54552828],[-2.97924709 -0.20956713],-0.0249891905968,[-0.28831464 -0.62531805],"[[ -3.03822269   0.78503964  -0.19366188  -0.09854267]
 [-32.91403011   4.10081623   0.           0.        ]]","[-1.83888163  1.17674005  0.82422015  1.64459313 -1.67249109 -0.84171362
 -0.6570885   0.94174659  0.24239587  0.12648118  0.        ]"
